Configuration[
MAP_NUM_ROWS=9
MAP_NUM_COLS=13
MAX_NUM_MOVING_OBJECTS=9
NUM_WALLS=9
ARRAY_WALLS=[(2,3);(2,1);(2,8);(4,5);(7,11);(5,8);(2,4);(6,1);(6,1)]
NUM_FAKE_WALLS=4
ARRAY_FAKE_WALLS=[(8,9);(3,9);(5,10);(5,10)]
SHERLOCK_MOVING_RULE=LDLLUURD
SHERLOCK_INIT_POS=(7,1)
SHERLOCK_INIT_HP=92
SHERLOCK_INIT_EXP=513
WATSON_MOVING_RULE=RD
WATSON_INIT_POS=(6,0)
WATSON_INIT_HP=40
WATSON_INIT_EXP=634
CRIMINAL_INIT_POS=(6,7)
NUM_STEPS=24
]
*********************************************************
ROUND : 0 - TURN : 0
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|   10|   11|   12|
    7|  (S)|     |     |     |     |     |     |     |     |     |     |IIIII|     |
    8|     |     |     |     |     |     |     |     |     |-----|     |     |     |
*********************************************************
ROUND : 1 - TURN : 0
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|   10|   11|   12|
    0|     |     |     |     |     |     |     |     |     |     |     |     |     |
    1|     |     |     |     |     |     |     |     |     |     |     |     |     |
    2|     |IIIII|     |IIIII|IIIII|     |     |     |IIIII|     |     |     |     |
    3|     |     |     |     |     |     |     |     |     |-----|     |     |     |
    4|     |     |     |     |     |IIIII|     |  (C)|     |     |     |     |     |
    5|     |     |     |     |     |     |     |     |IIIII|     |-----|     |     |
    6|  (W)|IIIII|     |     |     |     |     |     |     |     |     |     |     |
    7|  (S)|     |     |     |     |     |     |     |     |     |     |IIIII|     |
    8|     |     |     |     |     |     |     |     |     |-----|     |     |     |
*********************************************************
ROUND : 1 - TURN : 1
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|   10|   11|   12|
    0|     |     |     |     |     |     |     |     |     |     |     |     |     |
    1|     |     |     |     |     |     |     |     |     |     |     |     |     |
    2|     |IIIII|     |IIIII|IIIII|     |     |     |IIIII|     |     |     |     |
    3|     |     |     |     |     |     |     |     |     |-----|     |     |     |
    4|     |     |     |     |     |IIIII|     |  (C)|     |     |     |     |     |
    5|     |     |     |     |     |     |     |     |IIIII|     |-----|     |     |
    6|  (W)|IIIII|     |     |     |     |     |     |     |     |     |     |     |
    7|     |     |     |     |     |     |     |     |     |     |     |IIIII|     |
    8|  (S)|     |     |     |     |     |     |     |     |-----|     |     |     |
*********************************************************
ROUND : 1 - TURN : 2
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|   10|   11|   12|
    0|     |     |     |     |     |     |     |     |     |     |     |     |     |
    1|     |     |     |     |     |     |     |     |     |     |     |     |     |
    2|     |IIIII|     |IIIII|IIIII|     |     |     |IIIII|     |     |     |     |
    3|     |     |     |     |     |     |     |     |     |-----|     |     |     |
    4|     |     |     |     |     |IIIII|     |  (C)|     |     |     |     |     |
    5|     |     |     |     |     |     |     |     |IIIII|     |-----|     |     |
    6|     |IIIII|     |     |     |     |     |     |     |     |     |     |     |
    7|  (W)|     |     |     |     |     |     |     |     |     |     |IIIII|     |
    8|  (S)|     |     |     |     |     |     |     |     |-----|     |     |     |
*********************************************************
ROUND : 2 - TURN : 0
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|   10|   11|   12|
    0|     |     |     |     |     |     |     |     |     |     |     |     |     |
    1|     |     |     |     |     |     |     |     |     |     |     |     |     |
    2|     |IIIII|     |IIIII|IIIII|     |     |     |IIIII|     |     |     |     |
    3|     |     |     |     |     |     |     |  (C)|     |-----|     |     |     |
    4|     |     |     |     |     |IIIII|     |  (c)|     |     |     |     |     |
    5|     |     |     |     |     |     |     |     |IIIII|     |-----|     |     |
    6|     |IIIII|     |     |     |     |     |     |     |     |     |     |     |
    7|  (W)|     |     |     |     |     |     |     |     |     |     |IIIII|     |
    8|  (S)|     |     |     |     |     |     |     |     |-----|     |     |     |
*********************************************************
ROUND : 2 - TURN : 1
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|   10|   11|   12|
    0|     |     |     |     |     |     |     |     |     |     |     |     |     |
    1|     |     |     |     |     |     |     |     |     |     |     |     |     |
    2|     |IIIII|     |IIIII|IIIII|     |     |     |IIIII|     |     |     |     |
    3|     |     |     |     |     |     |     |  (C)|     |-----|     |     |     |
    4|     |     |     |     |     |IIIII|     |  (c)|     |     |     |     |     |
    5|     |     |     |     |     |     |     |     |IIIII|     |-----|     |     |
    6|     |IIIII|     |     |     |     |     |     |     |     |     |     |     |
    7|  (W)|     |     |     |     |     |     |     |     |     |     |IIIII|     |
    8|  (S)|     |     |     |     |     |     |     |     |-----|     |     |     |
*********************************************************
ROUND : 2 - TURN : 2
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|   10|   11|   12|
    0|     |     |     |     |     |     |     |     |     |     |     |     |     |
    1|     |     |     |     |     |     |     |     |     |     |     |     |     |
    2|     |IIIII|     |IIIII|IIIII|     |     |     |IIIII|     |     |     |     |
    3|     |     |     |     |     |     |     |  (C)|     |-----|     |     |     |
    4|     |     |     |     |     |IIIII|     |  (c)|     |     |     |     |     |
    5|     |     |     |     |     |     |     |     |IIIII|     |-----|     |     |
    6|     |IIIII|     |     |     |     |     |     |     |     |     |     |     |
    7|     |  (W)|     |     |     |     |     |     |     |     |     |IIIII|     |
    8|  (S)|     |     |     |     |     |     |     |     |-----|     |     |     |
*********************************************************
ROUND : 2 - TURN : 3
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|   10|   11|   12|
    0|     |     |     |     |     |     |     |     |     |     |     |     |     |
    1|     |     |     |     |     |     |     |     |     |     |     |     |     |
    2|     |IIIII|     |IIIII|IIIII|     |     |     |IIIII|     |     |     |     |
    3|     |     |     |     |     |     |     | (Cc)|     |-----|     |     |     |
    4|     |     |     |     |     |IIIII|     |     |     |     |     |     |     |
    5|     |     |     |     |     |     |     |     |IIIII|     |-----|     |     |
    6|     |IIIII|     |     |     |     |     |     |     |     |     |     |     |
    7|     |  (W)|     |     |     |     |     |     |     |     |     |IIIII|     |
    8|  (S)|     |     |     |     |     |     |     |     |-----|     |     |     |
*********************************************************
ROUND : 3 - TURN : 0
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|   10|   11|   12|
    0|     |     |     |     |     |     |     |     |     |     |     |     |     |
    1|     |     |     |     |     |     |     |     |     |     |     |     |     |
    2|     |IIIII|     |IIIII|IIIII|     |     |  (C)|IIIII|     |     |     |     |
    3|     |     |     |     |     |     |     |  (c)|     |-----|     |     |     |
    4|     |     |     |     |     |IIIII|     |     |     |     |     |     |     |
    5|     |     |     |     |     |     |     |     |IIIII|     |-----|     |     |
    6|     |IIIII|     |     |     |     |     |     |     |     |     |     |     |
    7|     |  (W)|     |     |     |     |     |     |     |     |     |IIIII|     |
    8|  (S)|     |     |     |     |     |     |     |     |-----|     |     |     |
*********************************************************
ROUND : 3 - TURN : 1
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|   10|   11|   12|
    0|     |     |     |     |     |     |     |     |     |     |     |     |     |
    1|     |     |     |     |     |     |     |     |     |     |     |     |     |
    2|     |IIIII|     |IIIII|IIIII|     |     |  (C)|IIIII|     |     |     |     |
    3|     |     |     |     |     |     |     |  (c)|     |-----|     |     |     |
    4|     |     |     |     |     |IIIII|     |     |     |     |     |     |     |
    5|     |     |     |     |     |     |     |     |IIIII|     |-----|     |     |
    6|     |IIIII|     |     |     |     |     |     |     |     |     |     |     |
    7|     |  (W)|     |     |     |     |     |     |     |     |     |IIIII|     |
    8|  (S)|     |     |     |     |     |     |     |     |-----|     |     |     |
*********************************************************
ROUND : 3 - TURN : 2
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|   10|   11|   12|
    0|     |     |     |     |     |     |     |     |     |     |     |     |     |
    1|     |     |     |     |     |     |     |     |     |     |     |     |     |
    2|     |IIIII|     |IIIII|IIIII|     |     |  (C)|IIIII|     |     |     |     |
    3|     |     |     |     |     |     |     |  (c)|     |-----|     |     |     |
    4|     |     |     |     |     |IIIII|     |     |     |     |     |     |     |
    5|     |     |     |     |     |     |     |     |IIIII|     |-----|     |     |
    6|     |IIIII|     |     |     |     |     |     |     |     |     |     |     |
    7|     |     |     |     |     |     |     |     |     |     |     |IIIII|     |
    8|  (S)|  (W)|     |     |     |     |     |     |     |-----|     |     |     |
*********************************************************
ROUND : 3 - TURN : 3
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|   10|   11|   12|
    0|     |     |     |     |     |     |     |     |     |     |     |     |     |
    1|     |     |     |     |     |     |     |     |     |     |     |     |     |
    2|     |IIIII|     |IIIII|IIIII|     |     | (Cc)|IIIII|     |     |     |     |
    3|     |     |     |     |     |     |     |     |     |-----|     |     |     |
    4|     |     |     |     |     |IIIII|     |     |     |     |     |     |     |
    5|     |     |     |     |     |     |     |     |IIIII|     |-----|     |     |
    6|     |IIIII|     |     |     |     |     |     |     |     |     |     |     |
    7|     |     |     |     |     |     |     |     |     |     |     |IIIII|     |
    8|  (S)|  (W)|     |     |     |     |     |     |     |-----|     |     |     |
*********************************************************
ROUND : 4 - TURN : 0
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|   10|   11|   12|
    0|     |     |     |     |     |     |     |     |     |     |     |     |     |
    1|     |     |     |     |     |     |     |  (C)|     |     |     |     |     |
    2|     |IIIII|     |IIIII|IIIII|     |     |  (c)|IIIII|     |     |     |     |
    3|     |     |     |     |     |     |     |     |     |-----|     |     |     |
    4|     |     |     |     |     |IIIII|     |     |     |     |     |     |     |
    5|     |     |     |     |     |     |     |     |IIIII|     |-----|     |     |
    6|     |IIIII|     |     |     |     |     |     |     |     |     |     |     |
    7|     |     |     |     |     |     |     |     |     |     |     |IIIII|     |
    8|  (S)|  (W)|     |     |     |     |     |     |     |-----|     |     |     |
*********************************************************
ROUND : 4 - TURN : 1
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|   10|   11|   12|
    0|     |     |     |     |     |     |     |     |     |     |     |     |     |
    1|     |     |     |     |     |     |     |  (C)|     |     |     |     |     |
    2|     |IIIII|     |IIIII|IIIII|     |     |  (c)|IIIII|     |     |     |     |
    3|     |     |     |     |     |     |     |     |     |-----|     |     |     |
    4|     |     |     |     |     |IIIII|     |     |     |     |     |     |     |
    5|     |     |     |     |     |     |     |     |IIIII|     |-----|     |     |
    6|     |IIIII|     |     |     |     |     |     |     |     |     |     |     |
    7|  (S)|     |     |     |     |     |     |     |     |     |     |IIIII|     |
    8|     |  (W)|     |     |     |     |     |     |     |-----|     |     |     |
*********************************************************
ROUND : 4 - TURN : 2
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|   10|   11|   12|
    0|     |     |     |     |     |     |     |     |     |     |     |     |     |
    1|     |     |     |     |     |     |     |  (C)|     |     |     |     |     |
    2|     |IIIII|     |IIIII|IIIII|     |     |  (c)|IIIII|     |     |     |     |
    3|     |     |     |     |     |     |     |     |     |-----|     |     |     |
    4|     |     |     |     |     |IIIII|     |     |     |     |     |     |     |
    5|     |     |     |     |     |     |     |     |IIIII|     |-----|     |     |
    6|     |IIIII|     |     |     |     |     |     |     |     |     |     |     |
    7|  (S)|     |     |     |     |     |     |     |     |     |     |IIIII|     |
    8|     |     |  (W)|     |     |     |     |     |     |-----|     |     |     |
*********************************************************
ROUND : 4 - TURN : 3
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|   10|   11|   12|
    0|     |     |     |     |     |     |     |     |     |     |     |     |     |
    1|     |     |     |     |     |     |     | (Cc)|     |     |     |     |     |
    2|     |IIIII|     |IIIII|IIIII|     |     |     |IIIII|     |     |     |     |
    3|     |     |     |     |     |     |     |     |     |-----|     |     |     |
    4|     |     |     |     |     |IIIII|     |     |     |     |     |     |     |
    5|     |     |     |     |     |     |     |     |IIIII|     |-----|     |     |
    6|     |IIIII|     |     |     |     |     |     |     |     |     |     |     |
    7|  (S)|     |     |     |     |     |     |     |     |     |     |IIIII|     |
    8|     |     |  (W)|     |     |     |     |     |     |-----|     |     |     |
*********************************************************
ROUND : 5 - TURN : 0
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|   10|   11|   12|
    0|     |     |     |     |     |     |     |  (C)|     |     |     |     |     |
    1|     |     |     |     |     |     |     | (cw)|     |     |     |     |     |
    2|     |IIIII|     |IIIII|IIIII|     |     |     |IIIII|     |     |     |     |
    3|     |     |     |     |     |     |     |     |     |-----|     |     |     |
    4|     |     |     |     |     |IIIII|     |     |     |     |     |     |     |
    5|     |     |     |     |     |     |     |     |IIIII|     |-----|     |     |
    6|     |IIIII|     |     |     |     |     |     |     |     |     |     |     |
    7|  (S)|     |     |     |     |     |     |     |     |     |     |IIIII|     |
    8|     |     |  (W)|     |     |     |     |     |     |-----|     |     |     |
*********************************************************
ROUND : 5 - TURN : 1
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|   10|   11|   12|
    0|     |     |     |     |     |     |     |  (C)|     |     |     |     |     |
    1|     |     |     |     |     |     |     | (cw)|     |     |     |     |     |
    2|     |IIIII|     |IIIII|IIIII|     |     |     |IIIII|     |     |     |     |
    3|     |     |     |     |     |     |     |     |     |-----|     |     |     |
    4|     |     |     |     |     |IIIII|     |     |     |     |     |     |     |
    5|     |     |     |     |     |     |     |     |IIIII|     |-----|     |     |
    6|  (S)|IIIII|     |     |     |     |     |     |     |     |     |     |     |
    7|     |     |     |     |     |     |     |     |     |     |     |IIIII|     |
    8|     |     |  (W)|     |     |     |     |     |     |-----|     |     |     |
*********************************************************
ROUND : 5 - TURN : 2
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|   10|   11|   12|
    0|     |     |     |     |     |     |     |  (C)|     |     |     |     |     |
    1|     |     |     |     |     |     |     | (cw)|     |     |     |     |     |
    2|     |IIIII|     |IIIII|IIIII|     |     |     |IIIII|     |     |     |     |
    3|     |     |     |     |     |     |     |     |     |-----|     |     |     |
    4|     |     |     |     |     |IIIII|     |     |     |     |     |     |     |
    5|     |     |     |     |     |     |     |     |IIIII|     |-----|     |     |
    6|  (S)|IIIII|     |     |     |     |     |     |     |     |     |     |     |
    7|     |     |     |     |     |     |     |     |     |     |     |IIIII|     |
    8|     |     |  (W)|     |     |     |     |     |     |-----|     |     |     |
*********************************************************
ROUND : 5 - TURN : 3
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|   10|   11|   12|
    0|     |     |     |     |     |     |     | (Cc)|     |     |     |     |     |
    1|     |     |     |     |     |     |     |  (w)|     |     |     |     |     |
    2|     |IIIII|     |IIIII|IIIII|     |     |     |IIIII|     |     |     |     |
    3|     |     |     |     |     |     |     |     |     |-----|     |     |     |
    4|     |     |     |     |     |IIIII|     |     |     |     |     |     |     |
    5|     |     |     |     |     |     |     |     |IIIII|     |-----|     |     |
    6|  (S)|IIIII|     |     |     |     |     |     |     |     |     |     |     |
    7|     |     |     |     |     |     |     |     |     |     |     |IIIII|     |
    8|     |     |  (W)|     |     |     |     |     |     |-----|     |     |     |
*********************************************************
ROUND : 5 - TURN : 4
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|   10|   11|   12|
    0|     |     |     |     |     |     |     | (Cc)|     |     |     |     |     |
    1|     |     |     |     |     |     |     |     |     |     |     |     |     |
    2|     |IIIII|     |IIIII|IIIII|     |     |  (w)|IIIII|     |     |     |     |
    3|     |     |     |     |     |     |     |     |     |-----|     |     |     |
    4|     |     |     |     |     |IIIII|     |     |     |     |     |     |     |
    5|     |     |     |     |     |     |     |     |IIIII|     |-----|     |     |
    6|  (S)|IIIII|     |     |     |     |     |     |     |     |     |     |     |
    7|     |     |     |     |     |     |     |     |     |     |     |IIIII|     |
    8|     |     |  (W)|     |     |     |     |     |     |-----|     |     |     |
*********************************************************
ROUND : 6 - TURN : 0
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|   10|   11|   12|
    0|     |     |     |     |     |     |     |  (c)|  (C)|     |     |     |     |
    1|     |     |     |     |     |     |     |     |     |     |     |     |     |
    2|     |IIIII|     |IIIII|IIIII|     |     |  (w)|IIIII|     |     |     |     |
    3|     |     |     |     |     |     |     |     |     |-----|     |     |     |
    4|     |     |     |     |     |IIIII|     |     |     |     |     |     |     |
    5|     |     |     |     |     |     |     |     |IIIII|     |-----|     |     |
    6|  (S)|IIIII|     |     |     |     |     |     |     |     |     |     |     |
    7|     |     |     |     |     |     |     |     |     |     |     |IIIII|     |
    8|     |     |  (W)|     |     |     |     |     |     |-----|     |     |     |
*********************************************************
ROUND : 6 - TURN : 1
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|   10|   11|   12|
    0|     |     |     |     |     |     |     |  (c)|  (C)|     |     |     |     |
    1|     |     |     |     |     |     |     |     |     |     |     |     |     |
    2|     |IIIII|     |IIIII|IIIII|     |     |  (w)|IIIII|     |     |     |     |
    3|     |     |     |     |     |     |     |     |     |-----|     |     |     |
    4|     |     |     |     |     |IIIII|     |     |     |     |     |     |     |
    5|     |     |     |     |     |     |     |     |IIIII|     |-----|     |     |
    6|  (S)|IIIII|     |     |     |     |     |     |     |     |     |     |     |
    7|     |     |     |     |     |     |     |     |     |     |     |IIIII|     |
    8|     |     |  (W)|     |     |     |     |     |     |-----|     |     |     |
*********************************************************
ROUND : 6 - TURN : 2
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|   10|   11|   12|
    0|     |     |     |     |     |     |     |  (c)|  (C)|     |     |     |     |
    1|     |     |     |     |     |     |     |     |     |     |     |     |     |
    2|     |IIIII|     |IIIII|IIIII|     |     |  (w)|IIIII|     |     |     |     |
    3|     |     |     |     |     |     |     |     |     |-----|     |     |     |
    4|     |     |     |     |     |IIIII|     |     |     |     |     |     |     |
    5|     |     |     |     |     |     |     |     |IIIII|     |-----|     |     |
    6|  (S)|IIIII|     |     |     |     |     |     |     |     |     |     |     |
    7|     |     |     |     |     |     |     |     |     |     |     |IIIII|     |
    8|     |     |     |  (W)|     |     |     |     |     |-----|     |     |     |
*********************************************************
ROUND : 6 - TURN : 3
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|   10|   11|   12|
    0|     |     |     |     |     |     |     |     | (Cc)|     |     |     |     |
    1|     |     |     |     |     |     |     |     |     |     |     |     |     |
    2|     |IIIII|     |IIIII|IIIII|     |     |  (w)|IIIII|     |     |     |     |
    3|     |     |     |     |     |     |     |     |     |-----|     |     |     |
    4|     |     |     |     |     |IIIII|     |     |     |     |     |     |     |
    5|     |     |     |     |     |     |     |     |IIIII|     |-----|     |     |
    6|  (S)|IIIII|     |     |     |     |     |     |     |     |     |     |     |
    7|     |     |     |     |     |     |     |     |     |     |     |IIIII|     |
    8|     |     |     |  (W)|     |     |     |     |     |-----|     |     |     |
*********************************************************
ROUND : 6 - TURN : 4
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|   10|   11|   12|
    0|     |     |     |     |     |     |     |     | (Cc)|     |     |     |     |
    1|     |     |     |     |     |     |     |     |     |     |     |     |     |
    2|     |IIIII|     |IIIII|IIIII|     |     |     |IIIII|     |     |     |     |
    3|     |     |     |     |     |     |     |  (w)|     |-----|     |     |     |
    4|     |     |     |     |     |IIIII|     |     |     |     |     |     |     |
    5|     |     |     |     |     |     |     |     |IIIII|     |-----|     |     |
    6|  (S)|IIIII|     |     |     |     |     |     |     |     |     |     |     |
    7|     |     |     |     |     |     |     |     |     |     |     |IIIII|     |
    8|     |     |     |  (W)|     |     |     |     |     |-----|     |     |     |
*********************************************************
ROUND : 7 - TURN : 0
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|   10|   11|   12|
    0|     |     |     |     |     |     |     |     |  (c)|  (C)|     |     |     |
    1|     |     |     |     |     |     |     |     |     |     |     |     |     |
    2|     |IIIII|     |IIIII|IIIII|     |     |     |IIIII|     |     |     |     |
    3|     |     |     |     |     |     |     |  (w)|     |-----|     |     |     |
    4|     |     |     |     |     |IIIII|     |     |     |     |     |     |     |
    5|     |     |     |     |     |     |     |     |IIIII|     |-----|     |     |
    6|  (S)|IIIII|     |     |     |     |     |     |     |     |     |     |     |
    7|     |     |     |     |     |     |     |     |     |     |     |IIIII|     |
    8|     |     |     |  (W)|     |     |     |     |     |-----|     |     |     |
*********************************************************
ROUND : 7 - TURN : 1
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|   10|   11|   12|
    0|     |     |     |     |     |     |     |     |  (c)|  (C)|     |     |     |
    1|     |     |     |     |     |     |     |     |     |     |     |     |     |
    2|     |IIIII|     |IIIII|IIIII|     |     |     |IIIII|     |     |     |     |
    3|     |     |     |     |     |     |     |  (w)|     |-----|     |     |     |
    4|     |     |     |     |     |IIIII|     |     |     |     |     |     |     |
    5|     |     |     |     |     |     |     |     |IIIII|     |-----|     |     |
    6|     |IIIII|     |     |     |     |     |     |     |     |     |     |     |
    7|  (S)|     |     |     |     |     |     |     |     |     |     |IIIII|     |
    8|     |     |     |  (W)|     |     |     |     |     |-----|     |     |     |
*********************************************************
ROUND : 7 - TURN : 2
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|   10|   11|   12|
    0|     |     |     |     |     |     |     |     |  (c)|  (C)|     |     |     |
    1|     |     |     |     |     |     |     |     |     |     |     |     |     |
    2|     |IIIII|     |IIIII|IIIII|     |     |     |IIIII|     |     |     |     |
    3|     |     |     |     |     |     |     |  (w)|     |-----|     |     |     |
    4|     |     |     |     |     |IIIII|     |     |     |     |     |     |     |
    5|     |     |     |     |     |     |     |     |IIIII|     |-----|     |     |
    6|     |IIIII|     |     |     |     |     |     |     |     |     |     |     |
    7|  (S)|     |     |     |     |     |     |     |     |     |     |IIIII|     |
    8|     |     |     |  (W)|     |     |     |     |     |-----|     |     |     |
*********************************************************
ROUND : 7 - TURN : 3
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|   10|   11|   12|
    0|     |     |     |     |     |     |     |     |     | (Cc)|     |     |     |
    1|     |     |     |     |     |     |     |     |     |     |     |     |     |
    2|     |IIIII|     |IIIII|IIIII|     |     |     |IIIII|     |     |     |     |
    3|     |     |     |     |     |     |     |  (w)|     |-----|     |     |     |
    4|     |     |     |     |     |IIIII|     |     |     |     |     |     |     |
    5|     |     |     |     |     |     |     |     |IIIII|     |-----|     |     |
    6|     |IIIII|     |     |     |     |     |     |     |     |     |     |     |
    7|  (S)|     |     |     |     |     |     |     |     |     |     |IIIII|     |
    8|     |     |     |  (W)|     |     |     |     |     |-----|     |     |     |
*********************************************************
ROUND : 7 - TURN : 4
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|   10|   11|   12|
    0|     |     |     |     |     |     |     |     |     | (Cc)|     |     |     |
    1|     |     |     |     |     |     |     |     |     |     |     |     |     |
    2|     |IIIII|     |IIIII|IIIII|     |     |     |IIIII|     |     |     |     |
    3|     |     |     |     |     |     |     |     |     |-----|     |     |     |
    4|     |     |     |     |     |IIIII|     |  (w)|     |     |     |     |     |
    5|     |     |     |     |     |     |     |     |IIIII|     |-----|     |     |
    6|     |IIIII|     |     |     |     |     |     |     |     |     |     |     |
    7|  (S)|     |     |     |     |     |     |     |     |     |     |IIIII|     |
    8|     |     |     |  (W)|     |     |     |     |     |-----|     |     |     |
*********************************************************
ROUND : 8 - TURN : 0
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|   10|   11|   12|
    0|     |     |     |     |     |     |     |     |     | (cw)|  (C)|     |     |
    1|     |     |     |     |     |     |     |     |     |     |     |     |     |
    2|     |IIIII|     |IIIII|IIIII|     |     |     |IIIII|     |     |     |     |
    3|     |     |     |     |     |     |     |     |     |-----|     |     |     |
    4|     |     |     |     |     |IIIII|     |  (w)|     |     |     |     |     |
    5|     |     |     |     |     |     |     |     |IIIII|     |-----|     |     |
    6|     |IIIII|     |     |     |     |     |     |     |     |     |     |     |
    7|  (S)|     |     |     |     |     |     |     |     |     |     |IIIII|     |
    8|     |     |     |  (W)|     |     |     |     |     |-----|     |     |     |
*********************************************************
ROUND : 8 - TURN : 1
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|   10|   11|   12|
    0|     |     |     |     |     |     |     |     |     | (cw)|  (C)|     |     |
    1|     |     |     |     |     |     |     |     |     |     |     |     |     |
    2|     |IIIII|     |IIIII|IIIII|     |     |     |IIIII|     |     |     |     |
    3|     |     |     |     |     |     |     |     |     |-----|     |     |     |
    4|     |     |     |     |     |IIIII|     |  (w)|     |     |     |     |     |
    5|     |     |     |     |     |     |     |     |IIIII|     |-----|     |     |
    6|     |IIIII|     |     |     |     |     |     |     |     |     |     |     |
    7|  (S)|     |     |     |     |     |     |     |     |     |     |IIIII|     |
    8|     |     |     |  (W)|     |     |     |     |     |-----|     |     |     |
*********************************************************
ROUND : 8 - TURN : 2
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|   10|   11|   12|
    0|     |     |     |     |     |     |     |     |     | (cw)|  (C)|     |     |
